"label"	"lineagemut2"
"IT|Basilicata|EPI_ISL_477198|20B|B.1.1.29|2020/03/20"	"B.1.1.29"
"IT|Basilicata|EPI_ISL_477199|20A|B.1.179|2020/03/23"	"B.1.179"
"IT|Basilicata|EPI_ISL_477200|20A|B.1.179|2020/03/23"	"B.1.179"
"IT|Basilicata|EPI_ISL_477201|20A|B.1|2020/03/23"	"B.1"
"IT|Campania|EPI_ISL_477204|20B|B.1.1.29|2020/05/30"	"B.1.1.29"
"IT|Emilia_Romagna|EPI_ISL_457699|20A|B.1|2020/02/22"	"B.1"
"IT|Friuli_Venezia_Giulia|EPI_ISL_417418|20A|B.1|2020/03/01"	"B.1"
"IT|Friuli_Venezia_Giulia|EPI_ISL_417419|20A|B.1|2020/03/01"	"B.1"
"IT|Friuli_Venezia_Giulia|EPI_ISL_417421|20A|B.1|2020/03/01"	"B.1"
"IT|Friuli_Venezia_Giulia|EPI_ISL_417423|20A|B.1|2020/03/01"	"B.1"
"IT|Friuli_Venezia_Giulia|EPI_ISL_428853|20A|B.1|2020/03/30"	"B.1"
"IT|Friuli_Venezia_Giulia|EPI_ISL_428854|20A|B.1|2020/03/30"	"B.1"
"IT|Friuli_Venezia_Giulia|EPI_ISL_479616|20A|B.1|2020/03/27"	"B.1"
"IT|Friuli_Venezia_Giulia|EPI_ISL_479617|20A|B.1|2020/03/27"	"B.1"
"IT|Friuli_Venezia_Giulia|EPI_ISL_479618|20A|B.1|2020/04/12"	"B.1"
"IT|Friuli_Venezia_Giulia|EPI_ISL_479619|20A|B.1|2020/04/12"	"B.1"
"IT|Friuli_Venezia_Giulia|EPI_ISL_479790|20A|B.1|2020/04/13"	"B.1"
"IT|Friuli_Venezia_Giulia|EPI_ISL_479791|20A|B.1|2020/03/08"	"B.1"
"IT|Lazio|EPI_ISL_451298|19A|B|2020/02/12"	"Other"
"IT|Lazio|EPI_ISL_451299|19A|B|2020/02/04"	"Other"
"IT|Lazio|EPI_ISL_451300|19A|B|2020/02/03"	"Other"
"IT|Lazio|EPI_ISL_451301|19A|B|2020/02/03"	"Other"
"IT|Lazio|EPI_ISL_451302|19A|B|2020/01/30"	"Other"
"IT|Lazio|EPI_ISL_451303|20A|B.1|2020/03/04"	"B.1"
"IT|Lazio|EPI_ISL_451304|20A|B.1|2020/03/23"	"B.1"
"IT|Lombardy|EPI_ISL_412973|20A|B.1|2020/02/20"	"B.1"
"IT|Lombardy|EPI_ISL_413489|20A|B.1|2020/03/03"	"B.1"
"IT|Lombardy|EPI_ISL_417445|20A|B.1|2020/02/24"	"B.1"
"IT|Lombardy|EPI_ISL_417447|20A|B.1|2020/02/24"	"B.1"
"IT|Lombardy|EPI_ISL_451306|20A|B.1|2020/02/21"	"B.1"
"IT|Lombardy|EPI_ISL_451307|20A|B.1.91|2020/02/21"	"Other"
"IT|Lombardy|EPI_ISL_451308|20A|B.1|2020/03/01"	"B.1"
"IT|Lombardy|EPI_ISL_451309|20A|B.1|2020/03/01"	"B.1"
"IT|Lombardy|EPI_ISL_457826|20A|B.1|2020/03/08"	"B.1"
"IT|Lombardy|EPI_ISL_460079|20A|B.1|2020/02/22"	"B.1"
"IT|Lombardy|EPI_ISL_460080|20B|B.1.1.29|2020/02/28"	"B.1.1.29"
"IT|Lombardy|EPI_ISL_460081|20B|B.1.1.29|2020/02/24"	"B.1.1.29"
"IT|Lombardy|EPI_ISL_460082|20A|B.1|2020/02/26"	"B.1"
"IT|Lombardy|EPI_ISL_460083|20A|B.1|2020/02/26"	"B.1"
"IT|Lombardy|EPI_ISL_460084|20A|B.1|2020/02/29"	"B.1"
"IT|Lombardy|EPI_ISL_460085|20A|B.1|2020/03/01"	"B.1"
"IT|Lombardy|EPI_ISL_460086|20A|B.1|2020/02/24"	"B.1"
"IT|Lombardy|EPI_ISL_460087|20A|B.1|2020/02/26"	"B.1"
"IT|Lombardy|EPI_ISL_460088|20A|B.1|2020/02/26"	"B.1"
"IT|Lombardy|EPI_ISL_460089|20B|B.1.1.29|2020/02/26"	"B.1.1.29"
"IT|Lombardy|EPI_ISL_460090|20A|B.1|2020/02/28"	"B.1"
"IT|Lombardy|EPI_ISL_460091|20A|B.1|2020/02/22"	"B.1"
"IT|Lombardy|EPI_ISL_460092|20A|B.1|2020/02/28"	"B.1"
"IT|Lombardy|EPI_ISL_460093|20A|B.1|2020/02/29"	"B.1"
"IT|Lombardy|EPI_ISL_460094|20A|B.1|2020/02/25"	"B.1"
"IT|Lombardy|EPI_ISL_460095|20A|B.1|2020/02/26"	"B.1"
"IT|Lombardy|EPI_ISL_486646|20A|B.1|2020/03/09"	"B.1"
"IT|Lombardy|EPI_ISL_486647|20A|B.1|2020/03/02"	"B.1"
"IT|Lombardy|EPI_ISL_486648|20A|B.1|2020/03/02"	"B.1"
"IT|Lombardy|EPI_ISL_486649|20B|B.1.1.29|2020/03/13"	"B.1.1.29"
"IT|Lombardy|EPI_ISL_486650|20A|B.1|2020/03/17"	"B.1"
"IT|Lombardy|EPI_ISL_486651|20A|B.1|2020/03/24"	"B.1"
"IT|Lombardy|EPI_ISL_486652|20A|B.1|2020/04/02"	"B.1"
"IT|Lombardy|EPI_ISL_486653|20A|B.1|2020/03/20"	"B.1"
"IT|Lombardy|EPI_ISL_486654|20A|B.1|2020/04/04"	"B.1"
"IT|Lombardy|EPI_ISL_486655|20A|B.1|2020/04/02"	"B.1"
"IT|Lombardy|EPI_ISL_486656|20A|B.1|2020/02/20"	"B.1"
"IT|Lombardy|EPI_ISL_486657|20A|B.1|2020/02/26"	"B.1"
"IT|Lombardy|EPI_ISL_486658|20A|B.1|2020/04/01"	"B.1"
"IT|Lombardy|EPI_ISL_486659|20A|B.1|2020/02/22"	"B.1"
