"label"	"nextclademut"
"IT|Abruzzo|EPI_ISL_457749|20A|B.1|2020/02/27"	"20A"
"IT|Apulia|EPI_ISL_451961|20A|B.1|2020/03/14"	"20A"
"IT|Apulia|EPI_ISL_451962|20A|B.1|2020/03/20"	"20A"
"IT|Apulia|EPI_ISL_468914|20B|B.1.1.29|2020/03/18"	"20B"
"IT|Apulia|EPI_ISL_469016|20B|B.1.1.29|2020/03/18"	"20B"
"IT|Apulia|EPI_ISL_469018|20B|B.1.1.29|2020/03/19"	"20B"
"IT|Apulia|EPI_ISL_469019|20A|B.1|2020/03/20"	"20A"
"IT|Apulia|EPI_ISL_469020|20B|B.1.1.29|2020/03/19"	"20B"
"IT|Apulia|EPI_ISL_469021|20A|B.1|2020/03/20"	"20A"
"IT|Apulia|EPI_ISL_469022|20A|B.1|2020/03/20"	"20A"
"IT|Apulia|EPI_ISL_469023|20B|B.1.1.29|2020/03/20"	"20B"
"IT|Apulia|EPI_ISL_469050|20B|B.1.1.29|2020/03/20"	"20B"
"IT|Apulia|EPI_ISL_477193|20A|B.1|2020/03/16"	"20A"
"IT|Apulia|EPI_ISL_477194|20B|B.1.1.29|2020/03/16"	"20B"
"IT|Apulia|EPI_ISL_477202|20B|B.1.1.29|2020/03/20"	"20B"
"IT|Apulia|EPI_ISL_477203|20B|B.1.1.29|2020/03/19"	"20B"
"IT|Basilicata|EPI_ISL_457736|20B|B.1.1.29|2020/03/24"	"20B"
"IT|Basilicata|EPI_ISL_477195|20D|B.1.1.1|2020/04/07"	"20D"
"IT|Basilicata|EPI_ISL_477196|20A|B.1|2020/04/06"	"20A"
"IT|Basilicata|EPI_ISL_477197|20B|B.1.1.207|2020/04/03"	"20B"
"IT|Basilicata|EPI_ISL_477198|20B|B.1.1.29|2020/03/20"	"20B"
"IT|Basilicata|EPI_ISL_477199|20A|B.1.179|2020/03/23"	"20A"
"IT|Basilicata|EPI_ISL_477200|20A|B.1.179|2020/03/23"	"20A"
"IT|Basilicata|EPI_ISL_477201|20A|B.1|2020/03/23"	"20A"
"IT|Campania|EPI_ISL_477204|20B|B.1.1.29|2020/05/30"	"20B"
"IT|Emilia_Romagna|EPI_ISL_457699|20A|B.1|2020/02/22"	"20A"
"IT|Friuli_Venezia_Giulia|EPI_ISL_417418|20A|B.1|2020/03/01"	"20A"
"IT|Friuli_Venezia_Giulia|EPI_ISL_417419|20A|B.1|2020/03/01"	"20A"
"IT|Friuli_Venezia_Giulia|EPI_ISL_417421|20A|B.1|2020/03/01"	"20A"
"IT|Friuli_Venezia_Giulia|EPI_ISL_417423|20A|B.1|2020/03/01"	"20A"
"IT|Friuli_Venezia_Giulia|EPI_ISL_428853|20A|B.1|2020/03/30"	"20A"
"IT|Friuli_Venezia_Giulia|EPI_ISL_428854|20A|B.1|2020/03/30"	"20A"
"IT|Friuli_Venezia_Giulia|EPI_ISL_479616|20A|B.1|2020/03/27"	"20A"
"IT|Friuli_Venezia_Giulia|EPI_ISL_479617|20A|B.1|2020/03/27"	"20A"
"IT|Friuli_Venezia_Giulia|EPI_ISL_479618|20A|B.1|2020/04/12"	"20A"
"IT|Friuli_Venezia_Giulia|EPI_ISL_479619|20A|B.1|2020/04/12"	"20A"
"IT|Friuli_Venezia_Giulia|EPI_ISL_479790|20A|B.1|2020/04/13"	"20A"
"IT|Friuli_Venezia_Giulia|EPI_ISL_479791|20A|B.1|2020/03/08"	"20A"
"IT|Lazio|EPI_ISL_451298|19A|B|2020/02/12"	"Other"
"IT|Lazio|EPI_ISL_451299|19A|B|2020/02/04"	"Other"
"IT|Lazio|EPI_ISL_451300|19A|B|2020/02/03"	"Other"
"IT|Lazio|EPI_ISL_451301|19A|B|2020/02/03"	"Other"
"IT|Lazio|EPI_ISL_451302|19A|B|2020/01/30"	"Other"
"IT|Lazio|EPI_ISL_451303|20A|B.1|2020/03/04"	"20A"
"IT|Lazio|EPI_ISL_451304|20A|B.1|2020/03/23"	"20A"
"IT|Lombardy|EPI_ISL_412973|20A|B.1|2020/02/20"	"20A"
"IT|Lombardy|EPI_ISL_413489|20A|B.1|2020/03/03"	"20A"
"IT|Lombardy|EPI_ISL_417445|20A|B.1|2020/02/24"	"20A"
"IT|Lombardy|EPI_ISL_417447|20A|B.1|2020/02/24"	"20A"
"IT|Lombardy|EPI_ISL_451306|20A|B.1|2020/02/21"	"20A"
"IT|Lombardy|EPI_ISL_451307|20A|B.1.91|2020/02/21"	"20A"
"IT|Lombardy|EPI_ISL_451308|20A|B.1|2020/03/01"	"20A"
"IT|Lombardy|EPI_ISL_451309|20A|B.1|2020/03/01"	"20A"
"IT|Lombardy|EPI_ISL_457826|20A|B.1|2020/03/08"	"20A"
"IT|Lombardy|EPI_ISL_460079|20A|B.1|2020/02/22"	"20A"
"IT|Lombardy|EPI_ISL_460080|20B|B.1.1.29|2020/02/28"	"20B"
"IT|Lombardy|EPI_ISL_460081|20B|B.1.1.29|2020/02/24"	"20B"
"IT|Lombardy|EPI_ISL_460082|20A|B.1|2020/02/26"	"20A"
"IT|Lombardy|EPI_ISL_460083|20A|B.1|2020/02/26"	"20A"
"IT|Lombardy|EPI_ISL_460084|20A|B.1|2020/02/29"	"20A"
"IT|Lombardy|EPI_ISL_460085|20A|B.1|2020/03/01"	"20A"
"IT|Lombardy|EPI_ISL_460086|20A|B.1|2020/02/24"	"20A"
"IT|Lombardy|EPI_ISL_460087|20A|B.1|2020/02/26"	"20A"
"IT|Lombardy|EPI_ISL_460088|20A|B.1|2020/02/26"	"20A"
"IT|Lombardy|EPI_ISL_460089|20B|B.1.1.29|2020/02/26"	"20B"
"IT|Lombardy|EPI_ISL_460090|20A|B.1|2020/02/28"	"20A"
"IT|Lombardy|EPI_ISL_460091|20A|B.1|2020/02/22"	"20A"
"IT|Lombardy|EPI_ISL_460092|20A|B.1|2020/02/28"	"20A"
"IT|Lombardy|EPI_ISL_460093|20A|B.1|2020/02/29"	"20A"
"IT|Lombardy|EPI_ISL_460094|20A|B.1|2020/02/25"	"20A"
"IT|Lombardy|EPI_ISL_460095|20A|B.1|2020/02/26"	"20A"
"IT|Lombardy|EPI_ISL_486646|20A|B.1|2020/03/09"	"20A"
"IT|Lombardy|EPI_ISL_486647|20A|B.1|2020/03/02"	"20A"
"IT|Lombardy|EPI_ISL_486648|20A|B.1|2020/03/02"	"20A"
"IT|Lombardy|EPI_ISL_486649|20B|B.1.1.29|2020/03/13"	"20B"
"IT|Lombardy|EPI_ISL_486650|20A|B.1|2020/03/17"	"20A"
"IT|Lombardy|EPI_ISL_486651|20A|B.1|2020/03/24"	"20A"
"IT|Lombardy|EPI_ISL_486652|20A|B.1|2020/04/02"	"20A"
"IT|Lombardy|EPI_ISL_486653|20A|B.1|2020/03/20"	"20A"
"IT|Lombardy|EPI_ISL_486654|20A|B.1|2020/04/04"	"20A"
"IT|Lombardy|EPI_ISL_486655|20A|B.1|2020/04/02"	"20A"
"IT|Lombardy|EPI_ISL_486656|20A|B.1|2020/02/20"	"20A"
"IT|Lombardy|EPI_ISL_486657|20A|B.1|2020/02/26"	"20A"
"IT|Lombardy|EPI_ISL_486658|20A|B.1|2020/04/01"	"20A"
"IT|Lombardy|EPI_ISL_486659|20A|B.1|2020/02/22"	"20A"
"IT|Lombardy|EPI_ISL_486660|20A|B.1|2020/02/23"	"20A"
"IT|Lombardy|EPI_ISL_486661|20A|B.1|2020/03/02"	"20A"
"IT|Lombardy|EPI_ISL_486662|20A|B.1|2020/03/02"	"20A"
"IT|Lombardy|EPI_ISL_486663|20B|B.1.1.29|2020/03/06"	"20B"
"IT|Lombardy|EPI_ISL_486664|20A|B.1|2020/02/26"	"20A"
"IT|Lombardy|EPI_ISL_486665|20A|B.1|2020/03/03"	"20A"
"IT|Marche|EPI_ISL_417491|20A|B.1|2020/03/03"	"20A"
"IT|Molise|EPI_ISL_457728|20B|B.1.1.29|2020/03/04"	"20B"
"IT|PA_Trento|EPI_ISL_457700|20A|B.1|2020/03/06"	"20A"
"IT|Rome|EPI_ISL_410545|19A|B|2020/01/29"	"Other"
"IT|Rome|EPI_ISL_410546|19A|B|2020/01/31"	"Other"
"IT|Rome|EPI_ISL_412974|19A|B|2020/01/29"	"Other"
"IT|Rome|EPI_ISL_417921|20A|B.1|2020/03/01"	"20A"
"IT|Rome|EPI_ISL_417922|20B|B.1.1.29|2020/02/28"	"20B"
"IT|Rome|EPI_ISL_417923|20A|B.1|2020/03/04"	"20A"
"IT|Rome|EPI_ISL_419254|20A|B.1|2020/03/23"	"20A"
"IT|Rome|EPI_ISL_419255|20A|B.1|2020/03/23"	"20A"
"IT|Rome|EPI_ISL_424342|20A|B.1|2020/03/07"	"20A"
"IT|Rome|EPI_ISL_424343|20A|B.1|2020/03/23"	"20A"
"IT|Rome|EPI_ISL_424344|20A|B.1|2020/03/04"	"20A"
"IT|Sardinia|EPI_ISL_457825|20B|B.1.1.29|2020/03/25"	"20B"
"IT|Sardinia|EPI_ISL_458084|20B|B.1.1|2020/04/03"	"20B"
"IT|Sardinia|EPI_ISL_458085|20B|B.1.1|2020/04/12"	"20B"
"IT|Sicily|EPI_ISL_457721|20B|B.1.1.29|2020/03/12"	"20B"
"IT|Unknown|EPI_ISL_454733|20B|B.1.1|2020/03/01"	"20B"
"IT|Unknown|EPI_ISL_487276|20A|B.1|2020/04/04"	"20A"
"IT|Valle_DAosta|EPI_ISL_457724|20B|B.1.1.29|2020/03/15"	"20B"
"IT|Valle_DAosta|EPI_ISL_457732|20B|B.1.1.29|2020/03/14"	"20B"
"IT|Veneto|EPI_ISL_422437|20B|B.1.1.29|2020/03/25"	"20B"
"IT|Veneto|EPI_ISL_422438|20A|B.1|2020/03/25"	"20A"
"IT|Veneto|EPI_ISL_452181|20A|B.1|2020/03/22"	"20A"
"IT|Veneto|EPI_ISL_452182|20B|B.1.1|2020/03/23"	"20B"
"IT|Veneto|EPI_ISL_452183|20B|B.1.1.29|2020/03/24"	"20B"
"IT|Veneto|EPI_ISL_452184|20A|B.1|2020/03/24"	"20A"
"IT|Veneto|EPI_ISL_452185|20A|B.1|2020/03/26"	"20A"
"IT|Veneto|EPI_ISL_452186|20B|B.1.1.29|2020/03/28"	"20B"
"IT|Veneto|EPI_ISL_452187|20B|B.1.1.29|2020/03/31"	"20B"
"IT|Veneto|EPI_ISL_452188|20B|B.1.1.29|2020/03/31"	"20B"
"IT|Veneto|EPI_ISL_452189|20B|B.1.1.29|2020/04/01"	"20B"
"IT|Veneto|EPI_ISL_452190|20A|B.1|2020/04/03"	"20A"
"IT|Veneto|EPI_ISL_452191|20A|B.1|2020/04/03"	"20A"
"NI|Australia|EPI_ISL_509505|20A|B.1|2020/01/25"	"20A"
"NI|Austria|EPI_ISL_437932|20B|B.1.1.29|2020/02/24"	"20B"
"NI|Austria|EPI_ISL_438002|20A|B.1|2020/03/03"	"20A"
"NI|Austria|EPI_ISL_475798|20A|B.1|2020/04/01"	"20A"
"NI|Austria|EPI_ISL_583718|20A|B.1|2020/04/29"	"20A"
"NI|Belgium|EPI_ISL_415159|20C|B.1|2020/02/29"	"20C"
"NI|Belgium|EPI_ISL_458215|20A|B.1|2020/03/29"	"20A"
"NI|Belgium|EPI_ISL_735249|20A|B.1|2020/04/29"	"20A"
"NI|Brazil|EPI_ISL_412964|20A|B.1|2020/02/25"	"20A"
"NI|Brazil|EPI_ISL_513529|20A|B.1|2020/04/30"	"20A"
"NI|Denmark|EPI_ISL_416144|20A|B.1|2020/03/01"	"20A"
"NI|Denmark|EPI_ISL_444960|20A|B.1.179|2020/03/31"	"20A"
"NI|Denmark|EPI_ISL_452075|20C|B.1|2020/04/28"	"20C"
"NI|England|EPI_ISL_425313|20A|B.1|2020/03/28"	"20A"
"NI|England|EPI_ISL_485604|20A|B.1.419|2020/02/24"	"20A"
"NI|England|EPI_ISL_573371|20A|B.1.98|2020/04/30"	"20A"
"NI|Finland|EPI_ISL_1229390|20A|B.1|2020/04/01"	"20A"
"NI|Finland|EPI_ISL_1240177|20C|B.1|2020/04/29"	"20C"
"NI|Finland|EPI_ISL_413602|20A|B.1|2020/03/03"	"20A"
"NI|France|EPI_ISL_1015053|20C|B.1|2020/03/11"	"20C"
"NI|France|EPI_ISL_629084|20A|B.1|2020/02/19"	"20A"
"NI|France|EPI_ISL_644681|20B|B.1.1.247|2020/02/26"	"20B"
"NI|France|EPI_ISL_660706|20B|B.1.1.162|2020/04/30"	"20B"
"NI|France|EPI_ISL_678541|20A|B.1|2020/04/30"	"20A"
"NI|Germany|EPI_ISL_412912|20B|B.1.1.29|2020/02/25"	"20B"
"NI|Germany|EPI_ISL_450200|19A|B.1|2020/01/28"	"Other"
"NI|Germany|EPI_ISL_466901|20B|B.1.1.162|2020/04/30"	"20B"
"NI|Germany|EPI_ISL_626220|20C|B.1|2020/04/30"	"20C"
"NI|Germany|EPI_ISL_852733|20A|B.1|2020/03/15"	"20A"
"NI|Guangdong|EPI_ISL_444969|20A|B.1|2020/04/16"	"20A"
"NI|Hangzhou|EPI_ISL_482577|20A|B.1|2020/03/07"	"20A"
"NI|Ireland|EPI_ISL_644291|20B|B.1.1.29|2020/04/14"	"20B"
"NI|Japan|EPI_ISL_419296|20A|B.1|2020/03/08"	"20A"
"NI|Japan|EPI_ISL_685438|20B|B.1.1.162|2020/04/29"	"20B"
"NI|Netherlands|EPI_ISL_413575|20A|B.1|2020/02/29"	"20A"
"NI|Netherlands|EPI_ISL_422796|20A|B.1|2020/03/30"	"20A"
"NI|Netherlands|EPI_ISL_547511|20A|B.1.88|2020/04/30"	"20A"
"NI|Scotland|EPI_ISL_489654|20B|B.1.1.29|2020/03/22"	"20B"
"NI|Sichuan|EPI_ISL_451345|19A|B.1|2020/01/24"	"Other"
"NI|South_Africa|EPI_ISL_417186|20A|B.1|2020/03/07"	"20A"
"NI|South_Africa|EPI_ISL_700512|20A|B.1|2020/04/30"	"20A"
"NI|Spain|EPI_ISL_444989|20A|B.1|2020/03/28"	"20A"
